date,SPY,AGG
2019-01-22,262.86,106.44
2019-01-23,263.41,106.55
2019-01-24,263.55,106.73
2019-01-25,265.78,106.68
2019-01-28,263.76,106.62
2019-01-29,263.41,106.9
2019-01-30,267.58,107.14
2019-01-31,269.93,107.46
2019-02-01,270.06,106.97
2019-02-04,271.96,106.88
2019-02-05,273.1,107.11
2019-02-06,272.74,107.05
2019-02-07,270.14,107.1
2019-02-08,270.47,107.34
2019-02-11,270.62,107.23
2019-02-12,274.1,107.25
2019-02-13,274.99,107.06
2019-02-14,274.38,107.22
2019-02-15,277.37,107.3
2019-02-19,277.85,107.36
2019-02-20,278.41,107.37
2019-02-21,277.42,107.13
2019-02-22,279.14,107.4
2019-02-25,279.52,107.37
2019-02-26,279.32,107.49
2019-02-27,279.2,107.26
2019-02-28,278.68,107.07
2019-03-01,280.42,106.63
2019-03-04,279.4,106.76
2019-03-05,279.02,106.83
2019-03-06,277.33,106.99
2019-03-07,275.01,107.29
2019-03-08,274.46,107.43
2019-03-11,278.44,107.44
2019-03-12,279.49,107.64
2019-03-13,281.34,107.59
2019-03-14,281.16,107.43
2019-03-15,281.31,107.7
2019-03-18,282.33,107.68
2019-03-19,282.4,107.62
2019-03-20,281.55,108.06
2019-03-21,284.73,108.08
2019-03-22,279.25,108.62
2019-03-25,279.04,108.82
2019-03-26,281.12,108.84
2019-03-27,279.65,109.07
2019-03-28,280.71,109.08
2019-03-29,282.48,109.07
2019-04-01,285.83,108.31
2019-04-02,285.97,108.43
2019-04-03,286.42,108.23
2019-04-04,287.18,108.31
2019-04-05,288.57,108.39
2019-04-08,288.79,108.34
2019-04-09,287.31,108.4
2019-04-10,288.29,108.61
2019-04-11,288.21,108.48
2019-04-12,290.16,108.27
2019-04-15,289.97,108.25
2019-04-16,290.16,108.06
2019-04-17,289.45,108.05
2019-04-18,290.02,108.19
2019-04-22,290.27,108.06
2019-04-23,292.88,108.25
2019-04-24,292.23,108.5
2019-04-25,292.05,108.49
2019-04-26,293.41,108.71
2019-04-29,293.87,108.52
2019-04-30,294.02,108.59
2019-05-01,291.81,108.4
2019-05-02,291.18,108.16
2019-05-03,294.03,108.34
2019-05-06,292.82,108.48
2019-05-07,287.93,108.61
2019-05-08,287.53,108.59
2019-05-09,286.66,108.65
2019-05-10,288.1,108.67
2019-05-13,280.86,108.85
2019-05-14,283.4,108.94
2019-05-15,285.06,109.13
2019-05-16,287.7,109.0
2019-05-17,285.84,109.03
2019-05-20,283.95,108.88
2019-05-21,286.51,108.87
2019-05-22,285.63,109.05
2019-05-23,282.14,109.37
2019-05-24,282.78,109.41
2019-05-28,280.15,109.57
2019-05-29,278.27,109.6
2019-05-30,279.03,109.89
2019-05-31,275.27,110.4
2019-06-03,274.57,110.4
2019-06-04,280.53,110.3
2019-06-05,282.96,110.24
2019-06-06,284.8,110.22
2019-06-07,287.65,110.53
2019-06-10,288.97,110.24
2019-06-11,288.9,110.22
2019-06-12,288.39,110.36
2019-06-13,289.58,110.6
2019-06-14,289.26,110.57
2019-06-17,289.37,110.54
2019-06-18,292.4,110.84
2019-06-19,293.06,111.22
2019-06-20,295.86,111.41
2019-06-21,294.0,111.12
2019-06-24,293.64,111.32
2019-06-25,290.76,111.34
2019-06-26,290.47,111.09
2019-06-27,291.5,111.4
2019-06-28,293.0,111.35
2019-07-01,295.66,111.18
2019-07-02,296.43,111.38
2019-07-03,298.8,111.56
2019-07-05,298.46,111.09
2019-07-08,296.82,111.03
2019-07-09,297.19,111.0
2019-07-10,298.61,111.08
2019-07-11,299.31,110.67
2019-07-12,300.65,110.79
2019-07-15,300.75,110.95
2019-07-16,299.71,110.83
2019-07-17,297.74,111.12
2019-07-18,298.83,111.3
2019-07-19,297.17,111.17
2019-07-22,297.9,111.31
2019-07-23,300.03,111.2
2019-07-24,301.44,111.36
2019-07-25,300.0,111.19
2019-07-26,302.01,111.21
2019-07-29,301.46,111.26
2019-07-30,300.72,111.25
2019-07-31,297.43,111.3
2019-08-01,294.84,111.91
2019-08-02,292.62,111.95
2019-08-05,283.82,112.44
2019-08-06,287.8,112.74
2019-08-07,287.97,112.68
2019-08-08,293.62,112.79
2019-08-09,291.62,112.64
2019-08-12,288.07,113.05
2019-08-13,292.55,112.89
2019-08-14,283.9,113.24
2019-08-15,284.65,113.76
2019-08-16,288.85,113.67
2019-08-19,292.33,113.37
2019-08-20,290.09,113.68
2019-08-21,292.45,113.62
2019-08-22,292.36,113.32
2019-08-23,284.85,113.78
2019-08-26,288.0,113.73
2019-08-27,286.87,114.09
2019-08-28,288.89,114.1
2019-08-29,292.58,114.03
2019-08-30,292.45,114.13
2019-09-03,290.74,113.84
2019-09-04,294.04,114.04
2019-09-05,297.82,113.55
2019-09-06,298.05,113.67
2019-09-09,298.2,113.19
2019-09-10,298.13,112.58
2019-09-11,300.25,112.6
2019-09-12,301.29,112.42
2019-09-13,301.09,111.75
2019-09-16,300.16,112.05
2019-09-17,300.92,112.22
2019-09-18,301.1,112.35
2019-09-19,301.08,112.51
2019-09-20,298.28,112.92
2019-09-23,298.21,112.97
2019-09-24,295.87,113.28
2019-09-25,297.62,112.81
2019-09-26,297.0,113.0
2019-09-27,295.4,113.14
2019-09-30,296.77,113.17
2019-10-01,293.24,113.12
2019-10-02,288.06,113.2
2019-10-03,290.42,113.64
2019-10-04,294.35,113.82
2019-10-07,293.08,113.51
2019-10-08,288.53,113.55
2019-10-09,291.27,113.49
2019-10-10,293.24,113.1
2019-10-11,296.28,112.73
2019-10-14,295.95,112.92
2019-10-15,298.88,112.55
2019-10-16,298.4,112.75
2019-10-17,299.28,112.72
2019-10-18,297.97,112.8
2019-10-21,299.99,112.49
2019-10-22,299.01,112.66
2019-10-23,299.88,112.75
2019-10-24,300.37,112.78
2019-10-25,301.6,112.62
2019-10-28,303.3,112.38
2019-10-29,303.21,112.39
2019-10-30,304.14,112.71
2019-10-31,303.33,113.15
2019-11-01,306.14,112.93
2019-11-04,307.37,112.65
2019-11-05,307.03,112.23
2019-11-06,307.1,112.4
2019-11-07,308.18,111.87
2019-11-08,308.94,111.81
2019-11-11,308.35,111.83
2019-11-12,309.0,111.95
2019-11-13,309.1,112.15
2019-11-14,309.55,112.47
2019-11-15,311.79,112.41
2019-11-18,312.02,112.62
2019-11-19,311.93,112.7
2019-11-20,310.77,112.97
2019-11-21,310.27,112.81
2019-11-22,310.96,112.87
2019-11-25,313.37,112.98
2019-11-26,314.08,113.14
2019-11-27,315.48,113.0
2019-11-29,314.31,112.86
2019-12-02,311.64,112.49
2019-12-03,309.55,113.0
2019-12-04,311.46,112.81
2019-12-05,312.02,112.68
2019-12-06,314.87,112.52
2019-12-09,313.88,112.58
2019-12-10,313.53,112.54
2019-12-11,314.42,112.84
2019-12-12,317.13,112.36
2019-12-13,317.32,112.81
2019-12-16,319.5,112.58
2019-12-17,319.57,112.59
2019-12-18,319.59,112.37
2019-12-19,320.9,112.3
2019-12-20,320.73,112.32
2019-12-23,321.22,112.24
2019-12-24,321.23,112.38
2019-12-26,322.94,112.48
2019-12-27,322.86,112.63
2019-12-30,321.08,112.63
2019-12-31,321.86,112.37
2020-01-02,324.87,112.68
2020-01-03,322.41,113.01
2020-01-06,323.64,112.92
2020-01-07,322.73,112.8
2020-01-08,324.45,112.67
2020-01-09,326.65,112.79
2020-01-10,325.71,112.98
2020-01-13,327.95,112.91
2020-01-14,327.45,113.01
2020-01-15,328.19,113.18
2020-01-16,330.92,113.18
2020-01-17,331.95,113.05
